aśvaḥ	Pferd  
kanyā	Mädchen  
kumāraḥ	Prinz, Jüngling  
gajaḥ	Elefant  
gṛhaṃ	Haus  
grāmaḥ	Dorf 
catura	schlau, gewitzt  
dūra	weit entfernt
dhūrtaḥ	Schurke  
nagaraṃ	Stadt 
naraḥ	Mann  
nṛpaḥ	König 
paṇḍitaḥ	Gelehrter  
prāsādaḥ	Palast 
phalam	Frucht  
bālaḥ	Kind 
bhavya	gut, vorzüglich; hübsch 
mitraṃ	Freund 
mūrkha	dumm, einfältig  
ratnaṃ	Juwel, Edelstein
sundara	schön 
vṛkṣaḥ	Baum
kathā	Erzählung, Geschichte 
manda	langsam, schlaff; sacht  
śīghra	rasch  
satya	wahr 
sāhasa	forsch, kühn  
sthira	fest
ava-gam	verstehen  
ā-gam	kommen  
gam	gehen  
car	gehen, laufen 
ji	siegen  
dah	brennen, verbrennen  
dṛś	sehen, erblicken  
nṛt	tanzen  
pra-viś	betreten  
budh	erwachen  
bhū	sein, werden  
vad	sagen 
vi-muc	freilassen  
sic	benetzen, besprenkeln  
sthā	stehenbleiben; verweilen  
spṛś	berühren 
