yadā icchā;yadecchA
manuḥ gacchati;manur gacchati
saḥ gacchati;sa gacchati
sādhu ūcuḥ;sAdhUcuH
tava eva;tavaiva
aśvāḥ atra;azvA atra
te atra;te 'tra
rāmaḥ tu;rAmas tu
prabho ehi;prabha ehi
rāmaḥ karoti;rAmaH karoti
na asti iha;nAstIha
na āsīt;nAsIt
devī iva;devIva
sādhu uktam;sAdhUktam
na iha;neha
vinā īrṣyayā;vinerSyayA
sā uvāca;sovāca
yathā ṛṣiḥ;yatharSiH
adya eva;adyaiva
sā oṣadhiḥ;sauSadhiH
upari upari;upary upary
astu etat;astv etat
te api;te 'pi
vane āste;vana Aste
tasmai adāt;tasmA adAt
tau ubhau;tAv ubhau
